incoming_amt,incoming_expiry,incoming_add_ts,incoming_remove_ts,outgoing_amt,outgoing_expiry,outgoing_add_ts,outgoing_remove_ts,forwarding_node,forwarding_alias,chan_in,chan_out
1714,264,1711634079701290208,1711634079701298125,714,120,1711634079701292208,1711634079701294333,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
6377,408,1711634083744752583,1711634083744756250,5377,328,1711634083744754250,1711634083744754875,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
17060,408,1711634085747712167,1711634085747718208,16060,328,1711634085747714125,1711634085747716250,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
10336,260,1711634089680073208,1711634089680087292,9718,160,1711634089680075542,1711634089680077917,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,345246651187200
8476,408,1711634089744730708,1711634089744735375,7476,328,1711634089744733167,1711634089744734958,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,344147139559424,346346162814976
1027,224,1711634089751606875,1711634089751611208,27,80,1711634089751609000,1711634089751610625,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1097,264,1711634091703950750,1711634091703954667,97,120,1711634091703952542,1711634091703953250,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
12780,224,1711634091746694500,1711634091746700625,12780,80,1711634091746696792,1711634091746700083,03d8ef4620be554d89902bc9fde9498b67790f416833b84d76298e248e4fccef56,3,339749093048320,340848604676096
2311,264,1711634093708989958,1711634093708994625,1311,120,1711634093708991750,1711634093708993917,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
7455,240,1711634095710559875,1711634095710565667,6955,140,1711634095710561875,1711634095710563875,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,332052511653888
2935,344,1711634095710875500,1711634095710878083,1935,264,1711634095710876167,1711634095710877750,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,344147139559424
2109,408,1711634095767905542,1711634095767917375,1109,328,1711634095767911042,1711634095767915000,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
1444929,260,1711634097715542750,1711634097715548875,1443908,160,1711634097715544917,1711634097715547167,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,345246651187200
1019,224,1711634097775088667,1711634097775096708,19,80,1711634097775091000,1711634097775093000,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1037,224,1711634097781082875,1711634097781088417,37,80,1711634097781084875,1711634097781086750,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1011,288,1711634101788995250,1711634101789001250,11,144,1711634101788997208,1711634101788999417,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,345246651187200,341948116303872
13837302,324,1711634105720177333,1711634105720184542,13836802,224,1711634105720180417,1711634105720182667,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,336450558164992,333152023281664
10965,224,1711634107772795667,1711634107772804042,10965,80,1711634107772799625,1711634107772802125,03d8ef4620be554d89902bc9fde9498b67790f416833b84d76298e248e4fccef56,3,339749093048320,340848604676096
1017,224,1711634107797370042,1711634107797375625,17,80,1711634107797372083,1711634107797374000,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1067,224,1711634107799833750,1711634107799837375,67,80,1711634107799834333,1711634107799835875,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
10282,468,1711634107802209750,1711634107802213333,9282,388,1711634107802211417,1711634107802211917,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,348545186070528
6671,488,1711634109684667750,1711634109684686167,5671,408,1711634109684677667,1711634109684685875,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,337550069792768,347445674442752
5671,408,1711634109684677667,1711634109684685875,4671,328,1711634109684679500,1711634109684682292,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
1054,224,1711634109808300792,1711634109808307250,54,80,1711634109808301667,1711634109808303417,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
1011,304,1711634111676981667,1711634111676991500,11,160,1711634111676983625,1711634111676985583,03d8ef4620be554d89902bc9fde9498b67790f416833b84d76298e248e4fccef56,3,340848604676096,339749093048320
9219,408,1711634113821860333,1711634113821871542,8219,328,1711634113821868042,1711634113821869875,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,346346162814976
1714,260,1711634115680188125,1711634115680194417,1098,160,1711634115680190625,1711634115680192792,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,333152023281664,345246651187200
4752,520,1711634119798773042,1711634119798784708,3752,420,1711634119798778500,1711634119798782500,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,337550069792768
2709445,576,1711634121685326542,1711634121685329000,2706151,432,1711634121685327042,1711634121685328708,02f460ae6d3d3e104f8afe520ae0cff3d94c35c2ba8df66da89f3c8006a265b90a,2,334251534909440,336450558164992
1283,224,1711634121841174125,1711634121841182042,283,80,1711634121841177625,1711634121841180125,03f4553a2e6092fb7c03e7c4041451d9946e7326f6bf2c852278dacbaff798a4b3,7,347445674442752,344147139559424
2005,428,1711634127724616375,1711634127724620625,1005,284,1711634127724616958,1711634127724620417,03c5528c628681aa17ab9e117aa3ee6f06c750dfb17df758ecabcd68f1567ad8c1,1,330953000026112,329853488398336
1005,284,1711634127724616958,1711634127724620417,5,140,1711634127724618333,1711634127724618958,03864ef025fde8fb587d989186ce6a4a186895ee44a926bfc370e2c366597a3f8f,9,329853488398336,345246651187200
4109,520,1711634129824753292,1711634129824761667,3109,420,1711634129824755458,1711634129824757750,037659a0ac8eb3b8d0a720114efc861d3a940382dcfa1403746b4f8f6b2e8810ba,8,345246651187200,336450558164992
